District code,Population,Male,Female,Literate,Households_with_Internet,State,District,Latitude,Longitude,Sex Ratio per 1000 males,Literacy Rate
396,967911,471960,495951,407735,1553,Orissa,Rayagada,19.292840020060204,83.45860120361095,1050.83,42.13
398,1379647,678809,700838,568090,3988,Orissa,Koraput,18.82627794779476,82.81278469846964,1032.45,41.18
399,613192,303624,309568,244706,448,Orissa,Malkangiri,18.25227930367506,81.98293636363628,1019.58,39.91
400,658917,334737,324180,397823,1667,Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,968.46,60.38
401,2359886,1193129,1166757,1187941,2737,Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,977.9,50.34
402,851669,424747,426922,495415,567,Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,1005.12,58.17
403,1493984,750278,743706,951639,3342,Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,991.24,63.7
403,1493984,750278,743706,951639,3342,Maharashtra,Raigarh,18.453257637845976,73.0090609418579,991.24,63.7
404,1206640,612915,593725,748759,4544,Chhattisgarh,Korba,22.491712499999995,82.57604326923074,968.69,62.05
406,2663629,1351574,1312055,1596560,8566,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,970.76,59.94
406,2663629,1351574,1312055,1596560,8566,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,970.76,59.94
409,3343872,1682101,1661771,2303378,16141,Chhattisgarh,Durg,21.194463849287164,81.33181639511197,987.91,68.88
410,4063872,2048186,2015686,2629749,20261,Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,984.13,64.71
411,1032754,511967,520787,637963,961,Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,1017.23,61.77
412,799781,397897,401884,546833,1016,Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,1010.02,68.37
414,1413199,698487,714712,650863,1782,Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,1023.23,46.06
417,255230,128663,126567,86919,117,Karnataka,Bijapur,16.84015316666667,75.95909166666665,983.71,34.06
418,687861,361784,326077,328025,273,Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,901.3,47.69
419,1965970,1068417,897553,1179685,1781,Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,840.08,60.01
420,1703005,926843,776162,1094917,1166,Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,837.43,64.29
421,2032036,1090327,941709,1357210,15779,Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,863.69,66.79
422,786754,420157,366597,491445,616,Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,872.52,62.46
423,1726050,919795,806255,900846,1852,Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,876.56,52.19
424,1445166,760355,684811,747940,1090,Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,900.65,51.75
425,1762375,936121,826254,943033,1880,Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,882.64,53.51
426,1016520,533480,483040,552559,653,Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,905.45,54.36
427,2378458,1256257,1122201,1545719,4546,Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,893.29,64.99
428,1264219,661873,602346,747715,1432,Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,910.06,59.14
429,2228935,1157495,1071440,1371781,3754,Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,925.65,61.54
430,2365106,1225100,1140006,1441757,3406,Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,930.54,60.96
431,644758,330674,314084,356672,839,Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,949.83,55.32
432,826067,422653,403414,508834,1945,Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,954.48,61.6
433,1340411,682851,657560,834591,2324,Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,962.96,62.26
434,1455069,738241,716828,825880,3644,Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,970.99,56.76
435,1986864,1016289,970575,1240990,7501,Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,955.02,62.46
436,1512681,780520,732161,894612,1382,Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,938.04,59.14
437,1563715,805359,758356,925369,3518,Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,941.64,59.18
438,2185793,1112725,1073068,1077338,2388,Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,964.36,49.29
439,3276697,1699627,1577070,2309130,48691,Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,927.89,70.47
441,1385881,699340,686541,549926,1158,Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,981.7,39.68
442,1545814,790212,755602,804245,1611,Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,956.2,52.03
443,1458875,769568,689307,862918,1926,Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,895.71,59.15
444,2371061,1236130,1134931,1660690,40788,Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,918.13,70.04
445,1311332,683743,627589,780362,1566,Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,917.87,59.51
446,1331597,700358,631239,820220,1141,Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,901.31,61.6
447,1575362,799236,776126,939769,2109,Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,971.08,59.65
448,570465,294838,275627,352550,986,Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,934.84,61.8
449,1241350,648725,592625,810644,2871,Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,913.52,65.3
450,1292042,662013,630029,790773,2179,Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,951.69,61.2
